1.29, 15.8901, 19.9769, 19.9769
1.3, 16.091, 20.21, 20.21
1.31, 16.2943, 20.4449, 20.4449
1.32, 16.4999, 20.6816, 20.6816
1.33, 16.7079, 20.9201, 20.9201
1.34, 16.9183, 21.1604, 21.1604
1.35, 17.1311, 21.4025, 21.4025
1.36, 17.3464, 21.6464, 21.6464
1.37, 17.5641, 21.8921, 21.8921
1.38, 17.7842, 22.1396, 22.1396
1.39, 18.0069, 22.3889, 22.3889
1.4, 18.232, 22.64, 22.64
1.41, 18.4597, 22.8929, 22.8929
1.42, 18.6899, 23.1476, 23.1476
1.43, 18.9226, 23.4041, 23.4041
1.44, 19.158, 23.6624, 23.6624
1.45, 19.3959, 23.9225, 23.9225
1.46, 19.6364, 24.1844, 24.1844
1.47, 19.8796, 24.4481, 24.4481
1.48, 20.1254, 24.7136, 24.7136
1.49, 20.3738, 24.9809, 24.9809
1.5, 20.625, 25.25, 25.25
1.51, 20.8789, 25.5209, 25.5209
1.52, 21.1354, 25.7936, 25.7936
1.53, 21.3947, 26.0681, 26.0681
1.54, 21.6568, 26.3444, 26.3444
1.55, 21.9216, 26.6225, 26.6225
1.56, 22.1892, 26.9024, 26.9024
1.57, 22.4597, 27.1841, 27.1841
1.58, 22.7329, 27.4676, 27.4676
1.59, 23.009, 27.7529, 27.7529
1.6, 23.288, 28.04, 28.04
1.61, 23.5698, 28.3289, 28.3289
1.62, 23.8546, 28.6196, 28.6196
1.63, 24.1422, 28.9121, 28.9121
1.64, 24.4328, 29.2064, 29.2064
1.65, 24.7264, 29.5025, 29.5025
1.66, 25.0229, 29.8004, 29.8004
1.67, 25.3224, 30.1001, 30.1001
1.68, 25.6249, 30.4016, 30.4016
1.69, 25.9304, 30.7049, 30.7049
1.7, 26.239, 31.01, 31.01
1.71, 26.5506, 31.3169, 31.3169
1.72, 26.8653, 31.6256, 31.6256
1.73, 27.1832, 31.9361, 31.9361
1.74, 27.5041, 32.2484, 32.2484
1.75, 27.8281, 32.5625, 32.5625
1.76, 28.1553, 32.8784, 32.8784
1.77, 28.4857, 33.1961, 33.1961
1.78, 28.8193, 33.5156, 33.5156
1.79, 29.156, 33.8369, 33.8369
1.8, 29.496, 34.16, 34.16
1.81, 29.8392, 34.4849, 34.4849
1.82, 30.1857, 34.8116, 34.8116
1.83, 30.5355, 35.1401, 35.1401
1.84, 30.8885, 35.4704, 35.4704
1.85, 31.2449, 35.8025, 35.8025
1.86, 31.6046, 36.1364, 36.1364
1.87, 31.9676, 36.4721, 36.4721
1.88, 32.334, 36.8096, 36.8096
1.89, 32.7038, 37.1489, 37.1489
1.9, 33.077, 37.49, 37.49
1.91, 33.4536, 37.8329, 37.8329
1.92, 33.8337, 38.1776, 38.1776
1.93, 34.2172, 38.5241, 38.5241
1.94, 34.6042, 38.8724, 38.8724
1.95, 34.9946, 39.2225, 39.2225
1.96, 35.3886, 39.5744, 39.5744
1.97, 35.7861, 39.9281, 39.9281
1.98, 36.1872, 40.2836, 40.2836
1.99, 36.5918, 40.6409, 40.6409
2, 37, 41, 41
2.01, 37.4118, 41.3609, 41.3609
2.02, 37.8272, 41.7236, 41.7236
2.03, 38.2463, 42.0881, 42.0881
2.04, 38.669, 42.4544, 42.4544
2.05, 39.0954, 42.8225, 42.8225
2.06, 39.5254, 43.1924, 43.1924
2.07, 39.9592, 43.5641, 43.5641
2.08, 40.3967, 43.9376, 43.9376
2.09, 40.838, 44.3129, 44.3129
2.1, 41.283, 44.69, 44.69
2.11, 41.7318, 45.0689, 45.0689
2.12, 42.1844, 45.4496, 45.4496
2.13, 42.6408, 45.8321, 45.8321
2.14, 43.101, 46.2164, 46.2164
2.15, 43.5651, 46.6025, 46.6025
2.16, 44.0331, 46.9904, 46.9904
2.17, 44.5049, 47.3801, 47.3801
2.18, 44.9807, 47.7716, 47.7716
2.19, 45.4604, 48.1649, 48.1649
2.2, 45.944, 48.56, 48.56
2.21, 46.4316, 48.9569, 48.9569
2.22, 46.9231, 49.3556, 49.3556
2.23, 47.4187, 49.7561, 49.7561
2.24, 47.9183, 50.1584, 50.1584
2.25, 48.4219, 50.5625, 50.5625
2.26, 48.9295, 50.9684, 50.9684
2.27, 49.4412, 51.3761, 51.3761
2.28, 49.9571, 51.7856, 51.7856
2.29, 50.477, 52.1969, 52.1969
2.3, 51.001, 52.61, 52.61
2.31, 51.5292, 53.0249, 53.0249
2.32, 52.0615, 53.4416, 53.4416
2.33, 52.598, 53.8601, 53.8601
2.34, 53.1387, 54.2804, 54.2804
2.35, 53.6836, 54.7025, 54.7025
2.36, 54.2328, 55.1264, 55.1264
2.37, 54.7862, 55.5521, 55.5521
2.38, 55.3438, 55.9796, 55.9796
2.39, 55.9058, 56.4089, 56.4089
2.4, 56.472, 56.84, 56.84
2.41, 57.0426, 57.2729, 57.2729
2.42, 57.6175, 57.7076, 57.7076
2.43, 58.1967, 58.1441, 58.1441
2.44, 58.7804, 58.5824, 58.5824
2.45, 59.3684, 59.0225, 59.0225
2.46, 59.9608, 59.4644, 59.4644
2.47, 60.5577, 59.9081, 59.9081
2.48, 61.159, 60.3536, 60.3536
2.49, 61.7647, 60.8009, 60.8009
2.5, 62.375, 61.25, 61.25
2.51, 62.9898, 61.7009, 61.7009
2.52, 63.609, 62.1536, 62.1536
2.53, 64.2328, 62.6081, 62.6081
2.54, 64.8612, 63.0644, 63.0644
2.55, 65.4941, 63.5225, 63.5225
2.56, 66.1316, 63.9824, 63.9824
2.57, 66.7738, 64.4441, 64.4441
2.58, 67.4205, 64.9076, 64.9076
2.59, 68.0719, 65.3729, 65.3729
2.6, 68.728, 65.84, 65.84
2.61, 69.3887, 66.3089, 66.3089
2.62, 70.0542, 66.7796, 66.7796
2.63, 70.7243, 67.2521, 67.2521
2.64, 71.3992, 67.7264, 67.7264
2.65, 72.0789, 68.2025, 68.2025
2.66, 72.7633, 68.6804, 68.6804
2.67, 73.4525, 69.1601, 69.1601
2.68, 74.1465, 69.6416, 69.6416
2.69, 74.8453, 70.1249, 70.1249
2.7, 75.549, 70.61, 70.61
2.71, 76.2575, 71.0969, 71.0969
2.72, 76.9709, 71.5856, 71.5856
2.73, 77.6893, 72.0761, 72.0761
2.74, 78.4125, 72.5684, 72.5684
2.75, 79.1406, 73.0625, 73.0625
2.76, 79.8737, 73.5584, 73.5584
2.77, 80.6118, 74.0561, 74.0561
2.78, 81.3549, 74.5556, 74.5556
2.79, 82.1029, 75.0569, 75.0569
2.8, 82.856, 75.56, 75.56
2.81, 83.6141, 76.0649, 76.0649
2.82, 84.3773, 76.5716, 76.5716
2.83, 85.1456, 77.0801, 77.0801
2.84, 85.9189, 77.5904, 77.5904
2.85, 86.6974, 78.1025, 78.1025
2.86, 87.481, 78.6164, 78.6164
2.87, 88.2697, 79.1321, 79.1321
2.88, 89.0636, 79.6496, 79.6496
2.89, 89.8627, 80.1689, 80.1689
2.9, 90.667, 80.69, 80.69
2.91, 91.4765, 81.2129, 81.2129
2.92, 92.2913, 81.7376, 81.7376
2.93, 93.1113, 82.2641, 82.2641
2.94, 93.9366, 82.7924, 82.7924
2.95, 94.7671, 83.3225, 83.3225
2.96, 95.603, 83.8544, 83.8544
2.97, 96.4442, 84.3881, 84.3881
